id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,language,explicit,mood_tag
36,Noche de Lluvia,Mar Adentro,latin pop,sad,0.42,88,0.34,0.60,0.58,54,2010s,spanish,False,wistful
37,Tokyo Underpass,Kanata Line,city pop,nostalgic,0.68,114,0.66,0.74,0.24,44,1980s,japanese,False,nostalgic
38,Harbor Lights 1984,Kanata Line,city pop,happy,0.73,120,0.82,0.77,0.21,47,1980s,japanese,False,warm
39,Deep Field Drift,Orbit Bloom,ambient,chill,0.24,56,0.60,0.35,0.93,26,2020s,instrumental,False,dreamy
40,Signal From Europa,Orbit Bloom,ambient,focused,0.30,62,0.50,0.38,0.90,29,2020s,instrumental,False,calm
41,Concrete Sermon,Kilo Verse,hip-hop,confident,0.72,92,0.55,0.83,0.10,66,2010s,english,True,bold
42,Block Party Dawn,Kilo Verse,hip-hop,happy,0.78,98,0.76,0.87,0.12,69,2020s,english,False,uplifting
43,Amp Feedback Waltz,Voltline,rock,moody,0.70,138,0.40,0.58,0.16,51,2000s,english,False,brooding
44,Overdrive Sunrise,Voltline,rock,intense,0.93,156,0.52,0.64,0.07,64,2020s,english,False,aggressive
45,Glass Ballroom,Clara Nyquist,classical,moody,0.26,70,0.38,0.25,0.92,20,2010s,instrumental,False,melancholy
46,Ruta del Sol,Mar Adentro,latin pop,happy,0.74,116,0.83,0.82,0.22,63,2020s,spanish,False,warm
47,Autopista Nocturna,Los Faros,latin rock,moody,0.69,112,0.46,0.66,0.19,48,2010s,spanish,False,nostalgic
48,Tarde de Verano,Los Faros,latin pop,relaxed,0.40,94,0.70,0.58,0.66,41,2000s,spanish,False,soothing
49,Kilometro Cero,Sombra Clara,latin rock,intense,0.88,142,0.54,0.70,0.11,45,2020s,spanish,False,aggressive
50,Neon Hanul,Yuna Prism,k-pop,confident,0.84,124,0.72,0.86,0.10,77,2020s,korean,False,bold
51,Seoul Rain Letter,Han Sol Bloom,k-pop,sad,0.46,90,0.33,0.62,0.57,53,2010s,korean,False,wistful
52,Shibuya Afterglow,Kanata Line,city pop,relaxed,0.58,108,0.68,0.70,0.33,43,1980s,japanese,False,warm
